countries_id,country
1,Afghanistan
2,Albania
3,Algeria
4,American Samoa
5,Andorra
6,Angola
7,Anguilla
8,Antigua and Barbuda
9,Argentina
10,Armenia
11,Aruba
12,Australia
13,Austria
14,Azerbaijan
15,"Bahamas, The"
16,Bahrain
17,Bangladesh
18,Barbados
19,Belarus
20,Belgium
21,Belize
22,Benin
23,Bhutan
24,Bolivia
25,"Bonaire, Sint Eustatius, and Saba"
26,Bosnia and Herzegovina
27,Botswana
28,Brazil
29,Brunei
30,Bulgaria
31,Burkina Faso
32,Burma
33,Burundi
34,Côte d’Ivoire
35,Cabo Verde
36,Cambodia
37,Cameroon
38,Canada
39,Central African Republic
40,Chad
41,Chile
42,China
43,Christmas Island
44,Colombia
45,Comoros
46,Congo (Brazzaville)
47,Congo (Kinshasa)
48,Cook Islands
49,Costa Rica
50,Croatia
51,Cuba
52,Curaçao
53,Cyprus
54,Czechia
55,Denmark
56,Djibouti
57,Dominica
58,Dominican Republic
59,Ecuador
60,Egypt
61,El Salvador
62,Equatorial Guinea
63,Eritrea
64,Estonia
65,Eswatini
66,Ethiopia
67,Faroe Islands
68,Fiji
69,Finland
70,France
71,French Guiana
72,French Polynesia
73,Gabon
74,"Gambia, The"
75,Gaza Strip
76,Georgia
77,Germany
78,Ghana
79,Gibraltar
80,Greece
81,Greenland
82,Grenada
83,Guadeloupe
84,Guam
85,Guatemala
86,Guernsey
87,Guinea
88,Guinea-Bissau
89,Guyana
90,Haiti
91,Honduras
92,Hong Kong
93,Hungary
94,Iceland
95,India
96,Indonesia
97,Iran
98,Iraq
99,Ireland
100,Isle of Man
101,Israel
102,Italy
103,Jamaica
104,Japan
105,Jersey
106,Jordan
107,Kazakhstan
108,Kenya
109,Kiribati
110,"Korea, North"
111,"Korea, South"
112,Kosovo
113,Kuwait
114,Kyrgyzstan
115,Laos
116,Latvia
117,Lebanon
118,Lesotho
119,Liberia
120,Libya
121,Liechtenstein
122,Lithuania
123,Luxembourg
124,Macau
125,Madagascar
126,Malawi
127,Malaysia
128,Maldives
129,Mali
130,Malta
131,Marshall Islands
132,Martinique
133,Mauritania
134,Mauritius
135,Mayotte
136,Mexico
137,"Micronesia, Federated States of"
138,Moldova
139,Monaco
140,Mongolia
141,Montenegro
142,Montserrat
143,Morocco
144,Mozambique
145,Namibia
146,Nauru
147,Nepal
148,Netherlands
149,New Caledonia
150,New Zealand
151,Nicaragua
152,Niger
153,Nigeria
154,Niue
155,North Macedonia
156,Northern Mariana Islands
157,Norway
158,Oman
159,Pakistan
160,Palau
161,Panama
162,Papua New Guinea
163,Paraguay
164,Peru
165,Philippines
166,Pitcairn Islands
167,Poland
168,Portugal
169,Puerto Rico
170,Qatar
171,Reunion
172,Romania
173,Russia
174,Rwanda
175,Saint Barthelemy
176,"Saint Helena, Ascension, and Tristan da Cunha"
177,Saint Kitts and Nevis
178,Saint Lucia
179,Saint Pierre and Miquelon
180,Saint Vincent and the Grenadines
181,Samoa
182,San Marino
183,Sao Tome and Principe
184,Saudi Arabia
185,Senegal
186,Serbia
187,Sierra Leone
188,Singapore
189,Sint Maarten
190,Slovakia
191,Slovenia
192,Solomon Islands
193,Somalia
194,South Africa
195,South Georgia and South Sandwich Islands
196,South Sudan
197,Spain
198,Sri Lanka
199,Sudan
200,Suriname
201,Svalbard
202,Sweden
203,Switzerland
204,Syria
205,Taiwan
206,Tajikistan
207,Tanzania
208,Thailand
209,Timor-Leste
210,Togo
211,Tonga
212,Trinidad and Tobago
213,Tunisia
214,Turkey
215,Turkmenistan
216,Turks and Caicos Islands
217,Tuvalu
218,U.S. Virgin Islands
219,Uganda
220,Ukraine
221,United Arab Emirates
222,United Kingdom
223,United States
224,Uruguay
225,Uzbekistan
226,Vanuatu
227,Vatican City
228,Venezuela
229,Vietnam
230,"Virgin Islands, British"
231,Wallis and Futuna
232,West Bank
233,Yemen
234,Zambia
235,Zimbabwe
